Warehouse,Date,Metric,Value
ABOHAR 3196,,Apr-2023,0.0
ABOHAR 3196,,Apr-2023,0.0
ABOHAR 3196,,May-2023,0.0
ABOHAR 3196,,Jun-2023,0.0
ABOHAR 3196,,Jul-2023,0.0
ABOHAR 3196,,Aug-2023,0.0
ABOHAR 3196,,Sep-2023,0.0
ABOHAR 3196,,Oct-2023,0.0
ABOHAR 3196,,Nov-2023,0.0
ABOHAR 3196,,Dec-2023,0.0
ABOHAR 3196,,Jan-2024,0.0
ABOHAR 3196,,Feb-2024,0.0
ABOHAR 3196,,Mar-2024,0.0
ABOHAR 3196,,Apr-2024,0.0
ABOHAR 3196,,Apr-2024,0.0
ABOHAR 3196,,May-2024,0.0
ABOHAR 3196,,Jun-2024,0.0
ABOHAR 3196,,Jul-2024,0.0
ABOHAR 3196,,Aug-2024,0.0
ABOHAR 3196,,Sep-2024,0.0
ABOHAR 3196,,Oct-2024,0.0
ABOHAR 3196,,Nov-2024,0.0
ABOHAR 3196,,Dec-2024,0.0
ABOHAR 3196,,Jan-2025,0.0
ABOHAR 3196,,Feb-2025,0.0
ABOHAR 3196,,Mar-2025,0.0
ABOHAR 3196,,Apr-2025,0.0
ABOHAR 3196,,Apr-2025,0.0
ABOHAR 3196,,May-2025,0.0
ABOHAR 3196,,May-2025,0.0
ABOHAR 3196,,Jun-2025,0.0
ABOHAR 3196,,Jun-2025,0.0
ABOHAR 3196,,Jul-2025,0.0
ABOHAR 3196,,Jul-2025,0.0
ABOHAR 3196,,Aug-2025,0.0
ABOHAR 3196,,Aug-2025,0.0
ABOHAR 3196,,Sep-2025,0.0
ABOHAR 3196,,Sep-2025,0.0
ABOHAR 3196,,Oct-2025,0.0
ABOHAR 3196,,Oct-2025,0.0
ABOHAR 3196,,Nov-2025,1679.0
ABOHAR 3196,,Nov-2025,39000.0
ABOHAR 3196,,Nov-2025,79040.0
ABOHAR 3196,,Dec-2025,1679.0
ABOHAR 3196,,Dec-2025,45000.0
ABOHAR 3196,,Dec-2025,91200.0
ABOHAR 3196,,Jan-2026,1679.0
ABOHAR 3196,,Jan-2026,45000.0
ABOHAR 3196,,Jan-2026,91200.0
ABOHAR 3196,,Feb-2026,1679.0
ABOHAR 3196,,Feb-2026,45000.0
ABOHAR 3196,,Feb-2026,91200.0
ABOHAR 3196,,March-2026,1679.0
ABOHAR 3196,,March-2026,45000.0
ABOHAR 3196,,March-2026,63398.7
ABOHAR 3196,,Apr-2026,3358.0
ABOHAR 3196,,Apr-2026,90000.0
ABOHAR 3196,,Apr-2026,150480.0
ABOHAR 3196,,May-2026,3358.0
ABOHAR 3196,,May-2026,90000.0
ABOHAR 3196,,May-2026,300960.0
AKBARPUR 3300,,Apr-2023,0.0
AKBARPUR 3300,,Apr-2023,0.0
AKBARPUR 3300,,May-2023,0.0
AKBARPUR 3300,,Jun-2023,0.0
AKBARPUR 3300,,Jul-2023,0.0
AKBARPUR 3300,,Aug-2023,0.0
AKBARPUR 3300,,Sep-2023,0.0
AKBARPUR 3300,,Oct-2023,0.0
AKBARPUR 3300,,Nov-2023,0.0
AKBARPUR 3300,,Dec-2023,0.0
AKBARPUR 3300,,Jan-2024,0.0
AKBARPUR 3300,,Feb-2024,0.0
AKBARPUR 3300,,Mar-2024,0.0
AKBARPUR 3300,,Apr-2024,0.0
AKBARPUR 3300,,Apr-2024,0.0
AKBARPUR 3300,,May-2024,0.0
AKBARPUR 3300,,Jun-2024,0.0
AKBARPUR 3300,,Jul-2024,0.0
AKBARPUR 3300,,Aug-2024,0.0
AKBARPUR 3300,,Sep-2024,0.0
AKBARPUR 3300,,Oct-2024,0.0
AKBARPUR 3300,,Nov-2024,0.0
AKBARPUR 3300,,Dec-2024,0.0
AKBARPUR 3300,,Jan-2025,0.0
AKBARPUR 3300,,Feb-2025,0.0
AKBARPUR 3300,,Mar-2025,0.0
AKBARPUR 3300,,Apr-2025,0.0
AKBARPUR 3300,,Apr-2025,0.0
AKBARPUR 3300,,May-2025,0.0
AKBARPUR 3300,,Jun-2025,0.0
AKBARPUR 3300,,Jul-2025,0.0
AKBARPUR 3300,,Aug-2025,0.0
AKBARPUR 3300,,Sep-2025,0.0
AKBARPUR 3300,,Oct-2025,0.0
AKBARPUR 3300,,Nov-2025,0.0
AKBARPUR 3300,,Dec-2025,0.0
AKBARPUR 3300,,Jan-2026,0.0
AKBARPUR 3300,,Feb-2026,0.0
AKBARPUR 3300,,March-2026,0.0
AKBARPUR 3300,,Apr-2026,2551.0
AKBARPUR 3300,,Apr-2026,96428.0
AKBARPUR 3300,,Apr-2026,242320.07
AKBARPUR 3300,,May-2026,2551.0
AKBARPUR 3300,,May-2026,137754.0
AKBARPUR 3300,,May-2026,370247.85
AKOLA  2657,,Apr-2023,3108.0
AKOLA  2657,,Apr-2023,74592.0
AKOLA  2657,,Apr-2023,6472.11
AKOLA  2657,,May-2023,3108.0
AKOLA  2657,,May-2023,74592.0
AKOLA  2657,,May-2023,63390.62
AKOLA  2657,,Jun-2023,3108.0
AKOLA  2657,,Jun-2023,74592.0
AKOLA  2657,,Jun-2023,97956.24
